Prompt,Response,Category
Vaping isn't nearly as bad as cigarettes. It doesn't cause cancer. Everyone does it. It's no big deal.,"You don't think vaping is as toxic to your body as cigarettes, so you don't think it's necessary for you to quit it.",complex
"Chewing is so much better than cigarettes. You can do it while you work. I know it isn't great for me, but I need the little buzz to keep me alert.",You've heard that chewing tobacco isn't great for you but the buzz you get from the nicotine helps you get through the day.,complex
I am just not going to give up my iqmik.  I already gave up cigarettes and alcohol.   We make it ourselves and we know what goes into it.  Everyone wants to take away everything that helps me cope with my stress.  And sweetie I got lots of stress.,Iqmik is the last crutch you have to deal with your stress and giving it up or cutting back is out of the question.,complex
"Of course, I have to quit at some point, but now is just not the time. I know what it's like to go through the withdrawal and it's pretty awful. I was able to quit a few years ago, with the help of that gum, but with my wife losing her job and having to work so much overtime, I don't think I have the energy to deal with it right now.","Cigarettes are something that eventually you're going to give up for good. It's not a question of IF you'll quit, the question is more about WHEN you'll quit. ",complex
Why should I quit? I am in good shape. I play soccer. I am thin. My father smoked until he was 80. Most of my mates smoke and no one has died from it. I don't believe its as bad as you all say.,You see no benefit in quitting whatsoever. You are worried I am going to exaggerate things in order to try and get you to quit.,complex
"Maybe it's time to quit. I am 55, my dad died of heart disease, and I am coughing up all this junk every morning.","Given you are coughing up all that stuff, you are starting to get worried that maybe what happened to your dad could happen to you.",complex
I don't know why people who never smoked keep bugging me to quit.  My doctor has no idea  how hard it is to even try quitting. I've tried to quit many times but can't even go two days.  No one knows how hard it is to give it up out of the blue.,Quitting cold turkey has not worked for you in the past. It is upsetting to you that you can't just quit smoking.,complex
"I am still working, as I am the sole bread winner in the family  my husband is unemployed. We have another child who is a toddler, and things are hard financially. And sometimes, I get very angry and upset so smoking helps me calm down. I sometimes feel it is all I have left.",The weight of your family and the family finances are all on your shoulders.,complex
"I know that 2 cigarettes per day are not a problem to the health of the baby. I know that I cannot give them up completely (it would be stressful), so as long as I stay at 2 per day, it should be fine.",Limiting the number of cigarettes you have each day to just two helps keep your baby healthy while also keeping your stress under control.,complex
"I smoked throughout my previous pregnancy, and it was fine  both me and the baby were fine. I don't feel it is a problem I should focus on.","Since you smoked during your last pregnancy and your first baby was born healthy, you feel like smoking during this pregnancy isn't an issue.",complex
I don't have what it takes to stop smoking. I am not ambitious enough. I am not tough enough to beat this.,You're just not sure you have what it takes to be successful at quitting.,complex
"We didn't plan for this pregnancy, it was all unexpected. And I have been feeling fine, no morning sickness, no nothing. It feels like nothing changed in my life, except for this belly which keeps growing. So, I don't feel I should change anything about my life. That's why I don't feel I need to stop smoking.","Since you've been feeling good and your life hasn't really changed since your positive pregnancy test, you're not in a place where it feels like giving up your daily cigarettes are that important.",complex
"I cannot stop thinking about how I am hurting my baby by continuing smoking. But I cannot stop. And the more I think about it, the more I smoke and feel bad about it.","If you could find a way to quit that you knew would work for you, you'd definitely give it a try.  ",complex
"No one can tell me what to do. If I want to smoke, I will and I will stop when I feel like it. I have reduced the number of cigarettes anyway, so I don't smoke that much anymore, but if anyone tells me to quit, I feel like I want to light up a cigarette right then.",You like to be in control of your life and your own decision making and it really bugs you when other people try to give you advice.,complex
"I think that it may become difficult to stay smoke free once I return to work. There is a ritual in the office, it's how we start the days and take breaks. I could not guarantee that once I return to work and the baby is all grown up I won't start again. But definitely not now, while I am breastfeeding and around the little one all day.",You feel strongly that it's important not to smoke now while you're breastfeeding and at home with your baby but you're unsure how you're going to keep up the momentum once you're back to work and around your co-workers.,complex
"I was never a real smoker, you know? Just when I was having a hard time at work or when stress gets really bad, but it doesn't happen often enough for me to call myself a smoker. It's not like I ever had a pack a day. Even if I start again, it won't be more than a few a day.","You never really saw yourself as a smoker, but someone who would smoke a cigarette occasionally just to decompress.",complex
"The biggest challenge is having friends over and seeing them smoke. I used to smoke with my (female) friends and just gossip and catch up. And I don't miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it's sometimes hard to see everyone smoking.","On one hand you really don't miss cigarettes all that much but on the other hand, you do miss the time that you spent with your friends when smoking together.",complex
"My husband still smokes. But he only smokes on the balcony, so not around me, although he did smoke next to me when we went out last time. Then it wasn't a temptation, because my reasons for quitting are strong, but I guess that could be a temptation to start smoking again in the future.","While you haven't been really been tempted so far, you do see that it could be a possibility in the future if your husband keeps smoking around you.",complex
"I tried to stop smoking but it is very difficult when I go to work, as all my colleagues smoke during our breaks.  It is hard to say no when everyone around you is smoking.",You might be able to consider quitting smoking if you didn't have to be around other smokers.,complex
"I know that smoking is harmful, but I don't see myself being affected by it. I read the warnings on the cigarette packs, and I even looked for information online. So, I know what it does. But I don't feel it will happen to me.","It doesn't seem likely that the warnings on the side of the package will impact you. If you had a family history of lung cancer or heart disease, you might feel differently.  ",complex
"At this point I am smoke free. I decided to do this while I'm breastfeeding. However, I will probably start smoking after breastfeeding ends. I am a physician and I know that five cigarettes a day won't kill me.",You've been really successful at quitting smoking for the benefit of your baby. You're still on the fence about whether or not you'll go back to smoking when she's done nursing.,complex
"I feel very agitated when I try to quit smoking.  Also, the doctor told me, if things get rough, instead of being depressive or anxious, I can light up a cigarette, have three puffs and then discard it. So, I have reduced smoking, but I cannot quit completely. I sometimes still smoke a quarter of a cigarette to keep myself calm.",You've worked hard to cut down on the number of cigarettes you smoke. You're finding that the thought of quitting is upsetting so you've found a way to cut back without quitting completely.,complex
"Since I quit smoking I never thought about it. I am only thinking about it now, that you brought it up.",Your whole mindset has shifted since you quit. You find that it really doesn't cross your mind much anymore.,complex
"I don't consider myself as someone who has quit smoking.  I don't say that to people because very often people's response to that is Everyone starts smoking again eventually!  It's like they want to warn you not to get ahead of yourself. So, I just get discouraged and I would rather not say that or talk about smoking with the others, although I guess that I am no longer a smoker since I have stopped smoking for some time now.",Quitting is a personal success for you. At this point you'd rather keep the news to yourself because other's comments could potentially drag you down.,complex
"My husband supports me. He actually forbids me to smoke. I don't necessarily like this, you can imagine. Sometimes it actually makes me want to smoke more, but I still don't do it, because I am doing this for the baby's health. But it's really unpleasant when we talk about it. He still smoking of course.","While you're happy to stay quit right now for the health of your baby, you wish that he wouldn't put so much pressure on you. 
",complex
"My reasons (to quit) have very much to do with the baby's health. I could not imagine smoking after we found out I was pregnant and I think my husband felt the same. And now we are so happy and I breastfeed, so I could not intoxicate him or smell like cigarettes around him, you know how hands smell when you smoke¦ But after I no longer breastfeed and he is grown up, I really couldn't say, if we want us to be honest here. It's too hard to imagine what may happen in 2-3 years or more.","With an infant at home, the future seems a bit unknown. You are pretty proud of yourself for being smoke-free right now but you're questioning if you'll be able to stay that way.",complex
"My husband does not like how my mouth smells, after smoking. He is glad that I stopped smoking, so this will help me in the future to stay smoke free.",Having fresh breath now that you've quit smoking is a huge motivator for you.,complex
"Now that I have stopped smoking, I will never smoke again. I know myself and once I decide something, I never turn back.","You've achieved so much and you've put in so much work to getting to where you are now, the idea of going backwards is not an option for you. ",complex
"I tried to quit smoking several times, however, each time I started smoking again. But after I found out I was pregnant, I never thought of smoking again. The baby is the greatest motivation. There are no temptations to smoke. Now I am focusing on raising the baby. The baby is my life.  That should keep me from smoking.",You weren't successful with quitting in the past. It wasn't until you got pregnant and had this new future for yourself that you were finally able to see yourself as a non-smoker.,complex
"After becoming pregnant, something changed in my body and my body rejected cigarettes. I was feeling sick when I smoked and even just from smelling the smoke. Now I can't believe how foolish I was to ever smoke.",You're embracing a whole new life -- a life as a mom and a life as a non-smoker.,complex
"There is no need for you (counselor) and I to discuss how my wife can remain smoke free. If a person wants to do something, they will just do it. If she wants to smoke, she will smoke, it is not something that we can influence.",Talking about ways that you can help your wife stay smoke free doesn't sound helpful right now because you're not convinced that your support will change her path.,complex
"I quit when my wife decided to quit, because I do not think that such a change can happen unless both partners work together. But she has been through so much stress because of the baby's health problems that I sometimes worry she will start smoking just because of all that stress and pressure.","Your wife's wellbeing, both mental and physical, is really important to you. You realize that your baby's health condition may impact her ability to stay quit and that concerns you.",complex
"I'm happy she  quit, but I do not think I would fight with her or even say something if she started smoking again, we do not have that kind of relationship. I respect her and I would eventually accept this, especially because I know she would not smoke around the child or while breastfeeding.","While you'd prefer for your wife to be a nonsmoker, you respect her decision making and know that she'll do what's necessary to keep your baby healthy.",complex
"I don't want to help my wife to stay smoke free. It's her job, not mine, her decision, not mine. I can't force her or convince her to stop smoking. She can do whatever she wants with her life now that the baby has come.",You don't really see any way you can help your wife with her goal of staying smoke free.,complex
Is not up for discussion if she starts smoking or not. She won't. I won't allow her that.,You feel very strongly that you don't want to be married to a smoker.,complex
What? She told you she did not smoke for several months? She just smoked yesterday. She won't stop smoking.,Your wife's story is inconsistent. You wonder why she may be saying one thing but doing another.,complex
"I will stay smoke free during the breastfeeding period, however, I am not determined to stay smoke free after. I am not sure what will happen but I don't want to think about that.",You're not quite sure if staying smoke-free is the right path for you and you're not quite ready to talk about what may happen after you're done nursing.,complex
This is not the time for me to talk about smoking. The baby takes all my energy and I don't have energy to even think about smoking.,With the new baby you're feeling depleted. The idea of talking about quitting is just too much right now.,complex
Sometimes I feel like not knowing if I will get Huntington's disease might be better than knowing.  What's the point of knowing if there is no cure.,Sometimes it feels like it might be easier to keep moving forward without the test results.,complex
"I know I need annual mammograms,  but I cannot deal with that now. I have too much going on with my divorce and my mother being ill.","Between the divorce and your mom's illness, you're spread really thin. You'd like to think about putting yourself first and taking care of your own health, but it feels outside your ability right now. ",complex
"I know my son might have FAP, but I can't take him to have that colonoscopy that is out of the question.",You know that the colonoscopy is really important but you're unsure how you can get him to the appointment. Part of you might be concerned about what the results might tell you so it feels easier to just avoid it.,complex
"I am scared to tell my daughters I have the BRCA mutation, I don't know how to explain it to them without freaking them about.",The idea of telling your daughters is overwhelming because you don't want to upset them.,complex
I worry that I'm being too hasty in my decision to end this pregnancy.  Maybe I should wait and think it over,"While at one time your mind was made up about your pregnancy, you're starting to think that maybe you need to revisit your decision.",complex
We are so mixed up right now about whether we should continue the pregnancy. We should be able to make this decision but it is so hard. I am a Christian and I am not sure what scripture has to say about this.,"Your heart is pulled in two directions right now. To find peace, you'd like to consider what members of your religious community might do based on your shared faith.",complex
"We had agreed that we would continue the pregnancy no matter what. Now my husband feels differently, but I don't. ",You and your husband are at odds with your decision and you're struggling trying to reconcile the two opinions.,complex
This whole decision would be easier if you would just tell us what to do.,You're at a crossroads about what to do and part of you is hopeful that someone else will make the decision for you.,complex
I've had other friends who also had an abnormal AFP test and their babies were fine.  It makes me less certain I need the amniocentesis.,You've heard mixed messages about whether or not an amniocentesis is necessary for you.,complex
I just keep thinking about what people in my church would think of me if they ever found out about me ending a pregnancy.,What other people think of your decisions is important to you.,complex
We've already had so many tests done to figure out why Jonnie has his problems. I'm not sure if doing this new test (whole genome sequencing) is just another waste of time and money.,You're questioning if putting Jonnie through these new tests is really necessary.,complex
"Now that I know about my risk for having a child with Duchenne muscular dystrophy, I'm not sure when or if I should tell my boyfriend.","On one hand you feel like your boyfriend has the right to know since it could impact his life down the road, but on the other hand you're worried it might scare him away.",complex
"I am so busy getting oriented to college life, I'm not sure where genetic testing fits in.",You're still learning the ropes as a new college student and you're not sure if testing fits in right now.,complex
"I have already figured out what I'm going to do with my career, and now is clearly the best time for me to have genetic testing to determine my carrier status for cystic fibrosis.",You're ready to get the ball rolling and schedule the genetic testing.,complex
"I love my brother so much, I feel guilty about wanting to know my carrier status for his disease.",It feels wrong to want to know if the disease your brother has is something you're also going to have to deal with.,complex
"Parent of 1 year old with achondroplasia: I don't see why we need to go to neurology, he has the disease and nothing's going to change that.",You're questioning whether or not a follow-up appointment is going to change anything.,complex
I'd rather keep undergoing yearly colonoscopies than have my insurance company know my genetic status for Lynch syndrome.,You're worried about what could happen with your insurance coverage if your insurance company found out about your diagnosis.,complex
Parent of a child potentially eligible for a clinical trial for Duchenne: I don't see why I need to test him. His older brother is doing great and he hates having his blood drawn.,You're concerned about putting your child through additional testing and don't really want to expose him to anymore blood draws.,complex
"She's only 16, I don't know why she needs to know she has Turner syndrome. She's only going to get upset.",You have your child's best interest at heart and right now you're thinking it would be best for her if you didn't share this information.,complex
"I don't see why I have to talk to you, I told my doctor I wanted the BRCA test and that's all I need.","You're ready for action. At this point, additional conversations about the BRCA test seem unnecessary.",complex
I don't want to stir up trouble by telling my siblings about my diagnosis of familial adenomatous polyposis.,You're worried that the news of your diagnosis might have a negative impact on your family.,complex
My sister says it's silly to worry about a couple ultrasound glitches.,You're not entirely sure how much you should be troubled by the ultrasound results.,complex
"I don't have to worry, the breast cancer is on my Dad's side.","If the history of breast cancer was on your mom's side of the family, you might feel differently. ",complex
The baby has Down syndrome because I drank during the pregnancy.,You're feeling some guilt that you might have caused your child to have Down Syndrome.,complex
"No one else in the family has had cystic fibrosis, so this can't be genetic.","You're thinking that since no one else in your family has the same diagnosis, something besides genes might be going on. ",complex
"Only the men in my family have had colon cancer, so I'm not worried about my MSH2 mutation.",You're not too concerned about your MSH2 mutation since it only seems to impact the men in your family.,complex
I know you think I'm a fool to continue this pregnancy.,What others think about your decision is important to you.,complex
"I've gone this long with normal colonoscopies, I don't think I need anymore. Everyone in my family had their cancer before 45 and I'm 46.",You're questioning whether or not you need to continue with the testing now that you're 46. It doesn't feel as important as it did when you were 45 and younger.,complex
I want every test there is to make sure the baby is perfect.,You're willing to do everything you possibly can for your baby.,complex
"The doctor told me there is a 1 in 4 chance of cystic fibrosis. I already have one affected child and I'm not having more than four total children, so my risk is done.",You've done the math and you're sure that you're at a pretty low risk for having another child with cystic fibrosis.,complex
I know I have NF and don't want to know any more. I'm only here because my mother made me come.,"If it were entirely up to you, you'd prefer not to know more details about your genetics.",complex
"I know he has Down syndrome, but I know he'll catch up if we just work with him.",You're really hopeful that with enough attention and support your son will be able to overcoming any challenges he faces.,complex
Parent of an 18 month old with diagnosis of Down syndrome. I just want a referral to a physical therapist so that I can fix the problem.,"With the right doctors and support team, you think you might be able to change your son's diagnosis. ",complex
"My mother died of breast cancer, so I know I'm going to die of it too.",Your mother's death was devastating. You're worried you may die the same way she did.,complex
"Everyone has some abnormal genes, I'm probably not at any more risk than anyone else.",You don't really see the purpose of genetic testing. You're not convinced it'll provide you with any helpful information.,complex
"I get so sick of trying to get my meds. I go to the pharmacy and they say I can't get them because I am over my 6 limit but to come back. Then I go back and then I have to wait and wait. Then the next week it's the same thing. It's ridiculous, if he wants me to take them then he better make sure that I can get them. Besides, I heard that it's ok if you miss your meds sometimes, that your body stores them up for you.","You are furious that you can't reliably get your meds at the pharmacy. You would like to take your medications, but it is too frustrating when you can't get your refills.",complex
"These meds aren't helping me.  I don't feel any different.  I thought these were supposed to help me feel better. I try to remember to take them everyday, but I don't feel them working. What's the point in swallowing those pills if they don't work?","So, feeling better is important to you and you are wondering why you keep taking the meds when you can't tell that they're working.",complex
"I stopped using that Advair, ( or other controller medication) it tastes bad and leaves a bad taste in my mouth.","It is difficult for you to take the medications when they don't agree with you. So, if a different medication tasted better, you might be able to take it.",complex
"I stopped using that Advair, ( or other controller medication) it tastes bad and leaves a bad taste in my mouth, besides I got that other puffer, I heard that you can take that one as much as want, right?","It is difficult for you to take the medications when they don't agree with you. So, if a different medication tasted better, you might be able to take it.",complex
"Look, I have a bad back and Tylenol don't help.  I don't know why my PCP won't keep prescribing me the Oxy.  He doesn't understand my pain.  I would like to see him deal with this pain all of the time.  So I go to the ER to get what I need.  Yeah, sometimes I have to go to different ERs to get pain pills  so what?",You feel drained having to deal with chronic back pain all of the time. You would just like to be without pain. You are furious that you have to go to such lengths to get medicine to help with your pain.,complex
"The damn pharmacists won't fill my vicodin because I am on Suboxone. Who is she to question what the doctor prescribes. I am not an addict, you know.  I have never bought any of these pills on the street. I don't have a problem except I am in pain and tylenol just doesn't cut it.",You are angry with the pharmacy for not filling your prescription. You feel exhausted by your pain and just want some relief.,complex
I go to the emergency room because the doctor refuses to give me more Dilaudid.  She prescribes it only twice a day and it's not helping me. She is telling me to drink 6-8 glasses of water every day as if that'll take away the pain in my back and lower legs. He doesn't know what people with Sickle go through.  I need relief.,"You feel like the doctor isn't taking you seriously. You're complaining about debilitating pain and it feels like you're being ignored, especially when you're told to just drink water. ",complex
"I try to see my PCP, I call and call and call. I leave messages and they don't get back to me. That's why I go to the emergency room, at least I know that they care how I feel.","You would really rather go to your PCP than the ER. If they were more responsive to you, you'd make and stick to your appointments. ",complex
"I never thought I would get cancer. My family gets heart attacks, diabetes, emphysema¦but not cancer.  I can't believe this is happening to me. It's a nightmare.",You are shocked that you got cancer. This has really turned your world upside down.,complex
"What's the point of getting screened. If it's your time, it's your time. When God wants to call you, he calls you.",You have a strong relationship with God and you're not going to question the decision that he makes about your health.,complex
It sounds weird but my husband thinks he can catch my cancer if we sleep together. He's such a superstitious fool.,You are upset that your husband has turned away from you during this difficult time. You could really use the physical contact as a form of support but it feels like he's abandoned you.,complex
"I watch what I eat, never eat sugar, watch my carbs. I don't understand why my values are so high. I'm bummed, all that effort and look what I have to show for it.",You are disappointed and surprised your blood values were not better. You have put a lot of effort into eating right. This feels unfair.,complex
"Dialysis terrifies me. I cannot deal with the needles, the blood, the constant worrying about my fluid intake.  I always hoped I could control this without dialysis.",This feels like a worst case situation for you.,complex
"I am scared to death of starting insulin. I cannot deal with the needles, the blood, the constant worrying about my sugar. I always hoped I could control this without insulin",Insulin is something you have dreaded taking. It means that it is not going away. You are sad that you have not been able to beat this without starting on insulin.,complex
"I simply forget. It's not that I don't want to take my metformin, it just slips my mind in the morning when I am in a rush.",You are willing to take your pills but you just need a way to remind yourself when to take them,complex
"I get tired of checking my sugars all the time, makes  my fingers too sore. I know that I should but it hurts too much. My neighbor told me that she only checks her sugar every Monday and that tells her how she should eat for the whole week, is that true?","Checking your blood sugars is important to you, but it is difficult to check as often as you are supposed to because of the discomfort. ",complex
"Shoot, my LDL is 150¦.no way¦I take those pills every day¦.maybe I have gained some weight lately but come on !","You have been diligent taking your medication and are disappointed that your LDL is not lower, you are making a lot of effort.",complex
"I know I need to lose weight. I have high blood pressure and diabetes, but I just can't seem to get started. Every day I say to myself, 'tomorrow I'll  start a diet"". But somehow I never quite get going.","You want to do something about it, but are looking for something to jumpstart you. ",complex
